,train/losses/sft,train/losses/total,train/learning_rate,train/loss,train/ref_logps/rejected,train/ref_logps/chosen,train/rewards/chosen,train/rewards/margins,_step,train/grad_norm,train/logps/chosen,train/rewards/rejected,train/epoch,train/global_step,_runtime,_timestamp,train/losses/dpo,train/logps/rejected,train/rewards/accuracies
0,1.7199128866195679,0.6931471824645996,1.5625e-08,0.6931,-35.478946685791016,-38.540916442871094,0.0,0.0,0,12.437935829162598,-38.540916442871094,0.0,0.0,1,35.463605363,1735668184.09459,0.6931471824645996,-35.478946685791016,0.0
1,1.033172845840454,0.6931471824645996,3.125e-08,0.6931,-32.317081451416016,-25.204132080078125,0.0,0.0,1,11.785247802734375,-25.204132080078125,0.0,0.01,2,60.38939899,1735668209.0566893,0.6931471824645996,-32.317081451416016,0.0
2,1.5887223482131958,0.6951895952224731,4.6875e-08,0.6928,-58.662567138671875,-39.85437774658203,-0.0020212174858897924,-0.004019784275442362,2,15.707504272460938,-39.89242935180664,0.0019985674880445004,0.01,3,84.535556185,1735668233.159839,0.6951895952224731,-58.70859909057617,0.5
3,1.1117233037948608,0.6951682567596436,6.25e-08,0.6924,-42.168487548828125,-32.346656799316406,-0.005296302028000355,-0.004001641646027565,3,14.128595352172852,-32.392189025878906,-0.001294660847634077,0.01,4,109.763185928,1735668258.43045,0.6951682567596436,-42.22996520996094,0.5
4,1.9449361562728882,0.703839898109436,7.812499999999999e-08,0.6946,-49.900840759277344,-36.11848449707031,-0.019258523359894753,-0.021183371543884277,4,16.737136840820312,-36.16427230834961,0.0019248486496508121,0.02,5,133.883199981,1735668282.550487,0.703839898109436,-49.91839599609375,0.25
5,1.4275531768798828,0.694132924079895,9.375e-08,0.6924,-45.05498123168945,-34.904151916503906,-0.01179442461580038,-0.0019209389574825764,5,14.785859107971191,-34.94917297363281,-0.009873485192656517,0.02,6,158.051592349,1735668306.674901,0.694132924079895,-45.11570739746094,0.75
6,1.157867670059204,0.6935456395149231,1.09375e-07,0.69,-41.14073944091797,-39.41108703613281,-0.004570567514747381,-0.0007602574769407511,6,14.022140502929688,-39.34475326538086,-0.0038103105034679174,0.02,7,182.207556788,1735668330.8398316,0.6935456395149231,-41.13884735107422,0.5
7,1.5454281568527222,0.6941009163856506,1.25e-07,0.6919,-36.09566879272461,-40.772560119628906,-0.003558337688446045,-0.0018975138664245605,7,13.607404708862305,-40.750362396240234,-0.0016608238220214844,0.03,8,206.275555502,1735668354.9080725,0.6941009163856506,-36.10021209716797,0.5
8,2.0106897354125977,0.7033687233924866,1.40625e-07,0.6942,-46.736690521240234,-32.6046028137207,-0.0036963699385523796,-0.02010332979261875,8,14.541911125183105,-32.5703125,0.016406960785388947,0.03,9,230.467486709,1735668379.0957255,0.7033687233924866,-46.68299102783203,0.25
9,1.2117023468017578,0.690986156463623,1.5624999999999999e-07,0.6953,-46.648563385009766,-41.427635192871094,0.002886906499043107,0.004352108109742403,9,15.346906661987305,-41.48604202270508,-0.001465201610699296,0.03,10,254.771532317,1735668403.4002779,0.690986156463623,-46.664527893066406,0.5
10,1.5942683219909668,0.6953160762786865,1.71875e-07,0.6946,-44.573028564453125,-38.828067779541016,0.002276134444400668,-0.004167652688920498,10,14.433366775512695,-38.80830383300781,0.006443786900490522,0.04,11,279.609887678,1735668428.277175,0.6953160762786865,-44.525352478027344,0.25
11,1.3817576169967651,0.6956163048744202,1.875e-07,0.692,-44.78413391113281,-35.4404296875,-0.00991213321685791,-0.004884053021669388,11,14.564541816711426,-35.4298095703125,-0.005028081126511097,0.04,12,303.79949685,1735668452.4269166,0.6956163048744202,-44.79613494873047,0.5
12,1.2440699338912964,0.6900672912597656,2.03125e-07,0.6946,-34.97564697265625,-29.259862899780273,-0.0024312972091138363,0.006437969394028187,12,13.07233715057373,-29.275022506713867,-0.00886926706880331,0.04,13,327.915507502,1735668476.5414412,0.6900672912597656,-34.963775634765625,0.75
13,1.3717811107635498,0.6866958737373352,2.1875e-07,0.691,-45.10143280029297,-41.822166442871094,0.00574991712346673,0.013026190921664238,13,15.543441772460938,-41.79141616821289,-0.007276272401213646,0.04,14,352.219533155,1735668500.8532856,0.6866958737373352,-45.114044189453125,0.5
14,1.3373112678527832,0.6870694160461426,2.3437499999999998e-07,0.6964,-48.18565368652344,-40.520626068115234,0.005132007412612438,0.012267541140317917,14,15.34749698638916,-40.51783752441406,-0.007135534193366766,0.05,15,376.423499219,1735668525.0453842,0.6870694160461426,-48.11931610107422,0.5
15,1.3060224056243896,0.6884156465530396,2.5e-07,0.6847,-46.77063751220703,-42.5399284362793,0.0053754327818751335,0.009587717242538929,15,15.097326278686523,-42.43363952636719,-0.0042122844606637955,0.05,16,400.815528119,1735668549.4469304,0.6884156465530396,-46.83484649658203,0.75
16,1.3623764514923096,0.6917248964309692,2.65625e-07,0.6924,-38.82215881347656,-31.995393753051758,-0.0014008162543177605,0.0028606299310922623,16,14.697237014770508,-32.02061462402344,-0.004261446185410023,0.05,17,424.97951441,1735668573.6104336,0.6917248964309692,-38.863189697265625,0.25
17,1.767546534538269,0.688663899898529,2.8125e-07,0.6923,-53.33622741699219,-39.812164306640625,-0.002037382684648037,0.009125089272856712,17,15.50875473022461,-39.88880920410156,-0.01116247195750475,0.06,18,449.127576941,1735668597.759098,0.688663899898529,-53.43110656738281,0.5
18,1.7015169858932495,0.6992507576942444,2.9687499999999996e-07,0.6943,-48.87091064453125,-47.67058563232422,-0.0066197398118674755,-0.012154435738921165,18,15.955289840698242,-47.73500061035156,0.005534696392714977,0.06,19,473.379499447,1735668622.004072,0.6992507576942444,-48.91358947753906,0.25
