,train/losses/dpo,_step,train/rewards/accuracies,train/logps/rejected,train/losses/total,_runtime,train/loss,train/grad_norm,train/rewards/margins,train/learning_rate,train/logps/answer,train/epoch,train/logps/chosen,train/rewards/chosen,train/losses/sft,_timestamp,train/rewards/rejected,train/global_step
0,2.5454483032226562,0,0.0,-0.6804602146148682,3.4981465339660645,32.898674458,3.1078,23.514925003051758,-2.2065539360046387,0,-1.6186763048171997,0.0,-1.6186763048171997,-3.558411121368408,1.9053966999053955,1747228622.872914,-1.3518571853637695,1
1,2.661752700805664,1,0.0,-0.7422193288803101,3.600430965423584,50.087764172,2.909,27.028160095214844,-2.3581953048706055,0,-1.5596988201141357,0.0,-1.5596988201141357,-3.6997292041778564,1.8773565292358398,1747228640.0876713,-1.34153413772583,2
2,2.0133156776428223,2,0.25,-0.8248223066329956,2.7030439376831055,71.864514795,2.9228,25.059555053710938,-1.4271115064620972,0,-1.5639526844024658,0.01,-1.5639526844024658,-2.542816638946533,1.379456639289856,1747228661.826214,-1.1157052516937256,3
3,2.534029006958008,3,0.0,-0.7537569999694824,3.303769588470459,89.917556455,2.7878,27.801467895507812,-2.1926651000976562,0,-1.4704420566558838,0.01,-1.4704420566558838,-3.1625685691833496,1.5394809246063232,1747228679.8793836,-0.9699034094810486,4
4,2.4514756202697754,4,0.25,-0.7165607810020447,3.190965175628662,107.106524399,2.9173,20.23666000366211,-2.0311684608459473,0,-1.4671722650527954,0.01,-1.4671722650527954,-2.8123350143432617,1.4789791107177734,1747228697.0678031,-0.7811665534973145,5
5,2.0981521606445312,5,0.0,-0.6846786737442017,2.814044952392578,124.624554463,3.1608,23.235803604125977,-1.5957106351852417,0,-1.6315457820892334,0.01,-1.6315457820892334,-2.502044200897217,1.4317857027053833,1747228714.585974,-0.9063336253166199,6
6,2.718928337097168,6,0.0,-0.7018957734107971,3.5354952812194824,142.106373327,2.8686,27.670747756958008,-2.3977065086364746,0,-1.5111117362976074,0.01,-1.5111117362976074,-3.5153417587280273,1.633134126663208,1747228732.106548,-1.1176352500915527,7
7,1.8047845363616943,7,0.25,-0.7703920006752014,2.4925930500030518,159.299488699,2.3289,17.780181884765625,-1.2225830554962158,0,-1.2272593975067139,0.02,-1.2272593975067139,-2.494025945663452,1.3756170272827148,1747228749.2598467,-1.2714428901672363,8
8,3.188655138015747,8,0.0,-0.6033624410629272,4.17946720123291,176.494480493,3.0318,20.76435089111328,-2.956693649291992,0,-1.482480764389038,0.02,-1.482480764389038,-4.001557350158691,1.9816237688064575,1747228766.4553957,-1.0448637008666992,9
9,2.485949993133545,9,0.0,-0.6717167496681213,3.206230401992798,193.764527542,2.8727,23.920827865600586,-2.122248649597168,0,-1.4817534685134888,0.02,-1.4817534685134888,-3.0777695178985596,1.4405606985092163,1747228783.7250123,-0.9555206298828125,10
