,train/losses/dpo,_step,train/rewards/accuracies,train/logps/rejected,train/losses/total,_runtime,train/loss,train/grad_norm,train/rewards/margins,train/learning_rate,train/logps/answer,train/epoch,train/logps/chosen,train/rewards/chosen,train/losses/sft,_timestamp,train/rewards/rejected,train/global_step
0,0.9556846618652344,0,0.75,-1.1020584106445312,1.4424333572387695,28.276103081,1.3338,7.645110607147217,0.027564510703086853,2.358490566037736e-09,-1.6431562900543213,0.0,-0.9368711709976196,-1.8531436920166016,0.9734973311424255,1747291828.7403808,-1.8807082176208496,1
1,0.6729090809822083,1,0.75,-1.129065990447998,1.0671278238296509,46.506028723,1.3401,8.497103691101074,0.6331334114074707,4.716981132075472e-09,-1.5813238620758057,0.0,-0.9608892202377319,-1.2509944438934326,0.78843754529953,1747291846.9627678,-1.8841276168823242,2
2,1.056392788887024,7,0.25,-1.0048372745513916,1.5894525051116943,151.172040028,1.3299,8.964755058288574,-0.15459273755550385,1.8867924528301887e-08,-1.2143535614013672,0.02,-0.8689029216766357,-1.7663078308105469,1.0661194324493408,1747291951.6281867,-1.6117150783538818,8
3,0.9550632834434509,8,0.75,-1.0814518928527832,1.4580042362213135,168.785671527,1.3326,8.71841812133789,0.3771183490753174,2.122641509433962e-08,-1.476703405380249,0.02,-0.8924294710159302,-1.6218996047973633,1.0058817863464355,1747291969.2803614,-1.9990180730819702,9
4,1.0279521942138672,9,0.25,-1.0597078800201416,1.5031166076660156,187.384046539,1.4419,9.11703872680664,-0.10814675688743591,2.3584905660377358e-08,-1.491466760635376,0.02,-0.9822201132774353,-1.6409695148468018,0.9503289461135864,1747291987.8413556,-1.532822847366333,10
5,1.0113835334777832,16,0.75,-1.0802733898162842,1.481520414352417,312.512017462,1.2245,9.009506225585938,-0.05491629242897034,4.0094339622641506e-08,-1.4786772727966309,0.03,-0.8208380937576294,-1.4645403623580933,0.940273642539978,1747292112.9685383,-1.4096240997314453,17
6,0.8751920461654663,27,0.75,-1.068137764930725,1.376784086227417,509.415037171,1.3905,8.494122505187988,0.2543036639690399,6.60377358490566e-08,-1.7459239959716797,0.05,-0.9663927555084229,-1.8841131925582886,1.003184199333191,1747292309.8719637,-2.1384167671203613,28
7,0.541830837726593,28,1.0,-1.1315467357635498,1.0119428634643555,527.633018022,1.2845,7.286411762237549,1.1882609128952026,6.839622641509433e-08,-1.5377202033996582,0.05,-0.9209804534912109,-1.570934534072876,0.9402241706848145,1747292328.0890708,-2.759195566177368,29
8,1.3020644187927246,33,0.25,-1.1036889553070068,1.7564120292663574,760.438625343,1.4985,10.565610885620117,-0.512854814529419,8.018867924528301e-08,-1.5847821235656738,0.06,-1.0769104957580566,-1.8063384294509888,0.9086953401565552,1747292418.4665318,-1.2934834957122803,34
9,1.0500264167785645,41,0.5,-1.1287620067596436,1.4978746175765991,760.449269055,1.3025,6.984726905822754,0.05956152826547623,9.905660377358491e-08,-1.4574154615402222,0.08,-0.9186027646064758,-1.5633559226989746,0.8956963419914246,1747292560.2243767,-1.6229175329208374,42
