,_step,train/logps/rejected,train/grad_norm,train/epoch,train/ref_logps/rejected,train/rewards/rejected,train/rewards/accuracies,train/losses/total,_runtime,train/loss,train/logps/chosen,train/losses/sft,_timestamp,train/losses/dpo,train/ref_logps/chosen,train/rewards/margins,train/global_step,train/learning_rate,train/rewards/chosen
37,37,-47.21226119995117,10.980113983154297,0.07,-47.147499084472656,-0.007672404870390892,0.25,0.6884333491325378,318.155476022,0.6883,-40.260589599609375,1.4359049797058105,1769713805.1895409,0.6884333491325378,-40.29631423950195,0.0096915727481246,38,3.584905660377358e-07,0.002019166946411133
38,38,-47.53079605102539,12.037068367004395,0.07,-47.48936462402344,-0.0054131983779370785,0.25,0.6970705389976501,326.103501396,0.6968,-39.39719772338867,1.5708364248275757,1769713813.1404605,0.6970705389976501,-39.28446960449219,-0.00778966024518013,39,3.6792452830188677e-07,-0.013202858157455921
39,39,-43.894798278808594,11.144196510314941,0.08,-43.81841278076172,0.007825958542525768,0.5,0.6937001943588257,333.901498932,0.69,-47.89290237426758,1.7244750261306763,1769713820.9370792,0.6937001943588257,-47.88072967529297,-0.0009896457195281982,40,3.773584905660377e-07,0.00683631282299757
40,40,-43.533935546875,10.86394214630127,0.08,-43.45169448852539,0.00277616991661489,0.25,0.6953486800193787,341.758440977,0.6892,-40.829750061035156,1.4289588928222656,1769713828.7991097,0.6953486800193787,-40.828460693359375,-0.004156756214797497,41,3.867924528301887e-07,-0.0013805869966745377
41,41,-35.22247314453125,10.839741706848145,0.08,-35.215328216552734,0.010286927223205566,0.25,0.6989232897758484,349.610497286,0.6949,-38.03608322143555,1.112203598022461,1769713836.6770272,0.6989232897758484,-37.99504470825195,-0.011355234310030937,42,3.9622641509433963e-07,-0.0010683061555027962
42,42,-43.160011291503906,11.00829792022705,0.08,-43.045413970947266,-0.026484990492463112,0.75,0.6800379753112793,357.327281546,0.6909,-38.94986343383789,1.6881422996520996,1769713844.3938606,0.6800379753112793,-38.88189697265625,0.02657426707446575,43,4.056603773584906e-07,8.927565068006516e-05
43,43,-43.68571090698242,11.981221199035645,0.08,-43.559688568115234,-0.016199778765439987,0.75,0.6877626776695251,365.10851279,0.6921,-32.41224670410156,1.1535667181015015,1769713852.1378562,0.6877626776695251,-32.308197021484375,0.010925959795713425,44,4.150943396226415e-07,-0.0052738189697265625
44,44,-52.81707000732422,12.239457130432129,0.09,-52.719051361083984,-0.015266203321516514,0.5,0.6854929327964783,372.95963655,0.6883,-33.32350540161133,1.4327411651611328,1769713859.9953227,0.6854929327964783,-33.3245735168457,0.015592716634273529,45,4.2452830188679244e-07,0.00032651424407958984
45,45,-43.746063232421875,10.900920867919922,0.09,-43.518760681152344,-0.01764017343521118,0.5,0.6900202035903931,380.605476609,0.6875,-33.6748046875,1.8179107904434204,1769713867.640217,0.6900202035903931,-33.563453674316406,0.006384194362908602,46,4.339622641509434e-07,-0.011255979537963867
46,46,-40.942100524902344,11.854416847229004,0.09,-40.82182693481445,0.003936195746064186,0.0,0.7060670852661133,388.390922653,0.6959,-38.37993240356445,1.0614111423492432,1769713875.4575322,0.7060670852661133,-38.20553970336914,-0.025589026510715485,47,4.4339622641509435e-07,-0.0216528307646513
47,47,-41.39151382446289,10.972136497497559,0.09,-41.1473274230957,-0.02043607272207737,0.25,0.6975401043891907,396.292545918,0.6893,-38.47190856933594,1.7231874465942383,1769713883.3281503,0.6975401043891907,-38.30685806274414,-0.008525393903255463,48,4.5283018867924526e-07,-0.02896146848797798
48,48,-51.1910514831543,12.043578147888184,0.09,-50.95216751098633,-0.01616520993411541,0.5,0.6914564371109009,404.065456286,0.6932,-46.665977478027344,1.6237648725509644,1769713891.0984752,0.6914564371109009,-46.42809295654297,0.0036998274736106396,49,4.622641509433962e-07,-0.012465381994843483
49,49,-41.479957580566406,10.198888778686523,0.09,-41.270263671875,-0.02985152043402195,0.75,0.6889841556549072,411.928470051,0.6913,-38.02436065673828,1.5780948400497437,1769713898.9602602,0.6889841556549072,-37.85447692871094,0.00849536620080471,50,4.7169811320754717e-07,-0.02135615423321724
50,50,-57.0476188659668,12.361741065979004,0.1,-56.726966857910156,-0.016082143411040306,0.5,0.6948707103729248,419.87261758,0.6932,-45.626502990722656,1.7168534994125366,1769713906.9392476,0.6948707103729248,-45.30726623535156,-0.003304028883576393,51,4.811320754716981e-07,-0.01938617415726185
51,51,-39.280452728271484,11.203803062438965,0.1,-39.00969696044922,-0.018404103815555573,0.5,0.6958730220794678,427.672480181,0.6923,-40.32765197753906,1.110062837600708,1769713914.7040446,0.6958730220794678,-40.07489776611328,-0.005256999284029007,52,4.90566037735849e-07,-0.02366110123693943
52,52,-42.56217956542969,10.871581077575684,0.1,-42.31595993041992,-0.00197905907407403,0.25,0.6986231207847595,435.588459635,0.6901,-37.51880645751953,1.4108189344406128,1769713922.624297,0.6986231207847595,-37.33656692504883,-0.010782533325254917,53,5e-07,-0.012761592864990234
53,53,-44.306732177734375,10.981244087219238,0.1,-43.94621276855469,-0.03435337543487549,0.25,0.6974375247955322,443.205474152,0.69,-36.754859924316406,1.3601142168045044,1769713930.2350943,0.6974375247955322,-36.462188720703125,-0.008476711809635162,54,4.989495798319327e-07,-0.04283008724451065
